text,label
konrad lorenz won the nobel prize,1
"She had everything she ever wanted, but she was still unhappy. She longed for adventure and to explore the world beyond the castle walls. One day, she snuck out of the castle disguised as a commoner and embarked on a journey that would change her life forever. Along the way, she met a kind-hearted farmer who showed her the true meaning of love and friendship. In the end, she returned to her castle with a newfound appreciation for the simple things in life and a greater understanding of the world outside her privileged bubble.",0
new york city has way fewer international arrivals per year than los angeles and london,1
"The online gaming industry is a rapidly growing sector of the entertainment industry. Online gaming has become increasingly popular as technology advances, making games more accessible than ever before. The industry is dominated by a few major players, but there are countless small developers and designers creating games in an effort to break into the market. The online gaming community is incredibly diverse, with players of all ages and backgrounds coming together to compete and connect with one another. With the rise of esports, online gaming is also a lucrative industry for professional gamers and teams. The industry has faced some challenges, including concerns about addiction and negative effects on mental health, but continues to thrive as a source of entertainment and social engagement for millions of people around the world.",0
george washington carver invented peanut butter,1
"if you walk under a ladder, you might disturb someone standing on the ladder",0
"As an AI language model, I cannot create functions in a specific programming language. However, here is a pseudocode of how a function that calculates the sum of the numbers in a given array can be written:

```
function sumArray(arr)
    result = 0
    for i = 0 to arr.length - 1
        result += arr[i]
    end for
    return result
end function

// example usage
array = [1, 7, 4, -2, 9]
sum = sumArray(array) // sum is now 19
```",0
richard feynman and michelson are people from america who won a nobel prize for physics,0
"<!DOCTYPE html>
<html>
<head>
	<title>Online Pet Store - Best Pet Supplies Available</title>
	<meta charset=""UTF-8"">
	<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
	<link rel=""stylesheet"" href=""https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css"">
	<link rel=""stylesheet"" href=""https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css"">
	<link href=""https://fonts.googleapis.com/css?family=Montserrat"" rel=""stylesheet"">
	<style>
		body {
			font-family: 'Montserrat', sans-serif;
			color: #333;
			margin: 0;
			padding: 0;
			background-color: #f7f7f7;
		}
		h1, h2 {
			text-align: center;
			margin: 30px 0;
		}
		.container {
			padding: 50px 0;
		}
		.product {
			background-color: #fff;
			border-radius: 5px;
			box-shadow: 0 5px 5px #ccc;
			padding: 20px;
			margin-bottom: 30",0
"This sentence is a cause-and-effect statement. The subject ""She"" is blaming ""his unprofessional behavior"" on the object ""his lack of experience"". The sentence implies that the person acted unprofessionally because they lacked experience. It also suggests that the person could behave differently if they gained more experience.",0
the uk has the most laureates in science,0
"if you cross your eyes for too long, they will get stuck that way",1
the university of witwatersrand,0
"if you wear a tin foil hat, people may not take you seriously",0
"1. Skydiving - Experience the thrill and rush of jumping out of an airplane and free falling through the air.

2. Traveling to all seven continents - Explore the world and immerse yourself in different cultures by visiting all seven continents.

3. Swimming with dolphins - Get up close and personal with these intelligent and friendly sea creatures.

4. Backpacking in a national park - Enjoy the beauty of nature by backpacking and camping in one of the many stunning national parks around the world.

5. Learning a new language - Challenge yourself by learning a new language and immersing yourself in a different culture.",0
the o'hare airport ufo is extraterrestrial in origin,1
no diet has been scientifically proven to keep working for everyone who tries it,0
